Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Start listener action : sampleAfterTestCase,,,,2019-08-27 17:07:00,2019-08-27 17:07:00,0.000s,PASSED
,,,,,,,
Test Cases/AlterationScoringRuleApps/Financial Non Employee/Non Ultimate/FE4/TC-1 USD FE4,,,,2019-08-27 17:07:00,2019-08-27 17:07:01,0.834s,PASSED
random = new java.util.Random(),,,,2019-08-27 17:07:00,2019-08-27 17:07:00,0.000s,PASSED
compareHighestValueFsaDeathVsAddccMax = 1875000,,,,2019-08-27 17:07:00,2019-08-27 17:07:00,0.000s,PASSED
compareHighestValueFsaDeathVsAddccMin = 625001,,,,2019-08-27 17:07:00,2019-08-27 17:07:00,0.000s,PASSED
compareHighestValueFsaDeathVsAddcc = random.nextInt(compareHighestValueFsaDeathVsAddccMax - compareHighestValueFsaDeathVsAddccMin) + compareHighestValueFsaDeathVsAddccMin,,,,2019-08-27 17:07:00,2019-08-27 17:07:00,0.000s,PASSED
println(compareHighestValueFsaDeathVsAddcc),,,,2019-08-27 17:07:00,2019-08-27 17:07:00,0.002s,PASSED
"comment(""Send request"")",,,,2019-08-27 17:07:00,2019-08-27 17:07:00,0.002s,PASSED
"response = sendRequest(findTestObject(""AlterationScoringRuleApps/Financial Non Employee/Non Ultimate/Object Request"", [""transactionType"":transactionType, ""role"":role, ""increasingFsaFlag"":increasingFsaFlag, ""pecFlag"":pecFlag, ""occupationCode"":occupationCode, ... ]))",,,,2019-08-27 17:07:00,2019-08-27 17:07:01,0.289s,PASSED
slurper = new groovy.json.JsonSlurper(),,,,2019-08-27 17:07:01,2019-08-27 17:07:01,0.000s,PASSED
parseResponse = slurper.parseText(response.getResponseText()),,,,2019-08-27 17:07:01,2019-08-27 17:07:01,0.000s,PASSED
println(parseResponse),,,,2019-08-27 17:07:01,2019-08-27 17:07:01,0.001s,PASSED
attributes = evidenceCode,,,,2019-08-27 17:07:01,2019-08-27 17:07:01,0.000s,PASSED
"expected = description == ""Butuh LSAR, ABR""",,,,2019-08-27 17:07:01,2019-08-27 17:07:01,0.000s,PASSED
"comment(""Verify evidence code is FE4 and have description ""Butuh LSAR, ABR"""")",,,,2019-08-27 17:07:01,2019-08-27 17:07:01,0.002s,PASSED
"verifyEqual(expected, true)",,,,2019-08-27 17:07:01,2019-08-27 17:07:01,0.002s,PASSED
"comment(""Verify response status code"")",,,,2019-08-27 17:07:01,2019-08-27 17:07:01,0.002s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2019-08-27 17:07:01,2019-08-27 17:07:01,0.002s,PASSED
Start listener action : sampleAfterTestCase,,,,2019-08-27 17:07:01,2019-08-27 17:07:01,0.000s,PASSED
,,,,,,,
Test Cases/AlterationScoringRuleApps/Financial Non Employee/Non Ultimate/FE4/TC-1 USD FE4,,,,2019-08-27 17:07:01,2019-08-27 17:07:01,0.567s,PASSED
random = new java.util.Random(),,,,2019-08-27 17:07:01,2019-08-27 17:07:01,0.000s,PASSED
compareHighestValueFsaDeathVsAddccMax = 1875000,,,,2019-08-27 17:07:01,2019-08-27 17:07:01,0.000s,PASSED
compareHighestValueFsaDeathVsAddccMin = 625001,,,,2019-08-27 17:07:01,2019-08-27 17:07:01,0.238s,PASSED
compareHighestValueFsaDeathVsAddcc = random.nextInt(compareHighestValueFsaDeathVsAddccMax - compareHighestValueFsaDeathVsAddccMin) + compareHighestValueFsaDeathVsAddccMin,,,,2019-08-27 17:07:01,2019-08-27 17:07:01,0.000s,PASSED
println(compareHighestValueFsaDeathVsAddcc),,,,2019-08-27 17:07:01,2019-08-27 17:07:01,0.000s,PASSED
"comment(""Send request"")",,,,2019-08-27 17:07:01,2019-08-27 17:07:01,0.003s,PASSED
"response = sendRequest(findTestObject(""AlterationScoringRuleApps/Financial Non Employee/Non Ultimate/Object Request"", [""transactionType"":transactionType, ""role"":role, ""increasingFsaFlag"":increasingFsaFlag, ""pecFlag"":pecFlag, ""occupationCode"":occupationCode, ... ]))",,,,2019-08-27 17:07:01,2019-08-27 17:07:01,0.048s,PASSED
slurper = new groovy.json.JsonSlurper(),,,,2019-08-27 17:07:01,2019-08-27 17:07:01,0.000s,PASSED
parseResponse = slurper.parseText(response.getResponseText()),,,,2019-08-27 17:07:01,2019-08-27 17:07:01,0.001s,PASSED
println(parseResponse),,,,2019-08-27 17:07:01,2019-08-27 17:07:01,0.001s,PASSED
attributes = evidenceCode,,,,2019-08-27 17:07:01,2019-08-27 17:07:01,0.250s,PASSED
"expected = description == ""Butuh LSAR, ABR""",,,,2019-08-27 17:07:01,2019-08-27 17:07:01,0.000s,PASSED
"comment(""Verify evidence code is FE4 and have description ""Butuh LSAR, ABR"""")",,,,2019-08-27 17:07:01,2019-08-27 17:07:01,0.003s,PASSED
"verifyEqual(expected, true)",,,,2019-08-27 17:07:01,2019-08-27 17:07:01,0.002s,PASSED
