Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"verifyResponseStatusCode(response, 200)",,,,2019-09-19 15:28:35,2019-09-19 15:28:35,0.009s,PASSED
,,,,,,,
Test Cases/AlterationScoringNBMajor/PRUmed Benefit Limitation/PRUmed Benefit Limitation,,,,2019-09-19 15:28:35,2019-09-19 15:28:36,0.693s,PASSED
"response = sendRequest(findTestObject(""AlterationScroingNBMajor/PRUmed Benefit Limitation/Version 1.0_Check_1.391/Request Object"", [""transactionType"":transactionType, ""clientType"":clientType, ""role"":role, ""subAlter"":subAlter, ""eviCode"":eviCode, ""riderCode"":riderCode, ... ]))",,,,2019-09-19 15:28:35,2019-09-19 15:28:35,0.030s,PASSED
slurper = new groovy.json.JsonSlurper(),,,,2019-09-19 15:28:35,2019-09-19 15:28:35,0.000s,PASSED
parsingResponse = slurper.parseText(response.getResponseText()),,,,2019-09-19 15:28:35,2019-09-19 15:28:35,0.001s,PASSED
println(parsingResponse),,,,2019-09-19 15:28:35,2019-09-19 15:28:35,0.001s,PASSED
evidenceCode = evidenceCode,,,,2019-09-19 15:28:35,2019-09-19 15:28:35,0.001s,PASSED
println(evidenceCode),,,,2019-09-19 15:28:35,2019-09-19 15:28:35,0.000s,PASSED
println(expectedEvidenceCode),,,,2019-09-19 15:28:35,2019-09-19 15:28:35,0.000s,PASSED
"if (expectedEvidenceCode != ""STD"")",,,,2019-09-19 15:28:36,2019-09-19 15:28:36,0.000s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2019-09-19 15:28:36,2019-09-19 15:28:36,0.003s,PASSED
,,,,,,,
Test Cases/AlterationScoringNBMajor/PRUmed Benefit Limitation/PRUmed Benefit Limitation,,,,2019-09-19 15:28:36,2019-09-19 15:28:36,0.740s,PASSED
"response = sendRequest(findTestObject(""AlterationScroingNBMajor/PRUmed Benefit Limitation/Version 1.0_Check_1.391/Request Object"", [""transactionType"":transactionType, ""clientType"":clientType, ""role"":role, ""subAlter"":subAlter, ""eviCode"":eviCode, ""riderCode"":riderCode, ... ]))",,,,2019-09-19 15:28:36,2019-09-19 15:28:36,0.273s,PASSED
slurper = new groovy.json.JsonSlurper(),,,,2019-09-19 15:28:36,2019-09-19 15:28:36,0.001s,PASSED
parsingResponse = slurper.parseText(response.getResponseText()),,,,2019-09-19 15:28:36,2019-09-19 15:28:36,0.000s,PASSED
println(parsingResponse),,,,2019-09-19 15:28:36,2019-09-19 15:28:36,0.001s,PASSED
evidenceCode = evidenceCode,,,,2019-09-19 15:28:36,2019-09-19 15:28:36,0.001s,PASSED
println(evidenceCode),,,,2019-09-19 15:28:36,2019-09-19 15:28:36,0.000s,PASSED
println(expectedEvidenceCode),,,,2019-09-19 15:28:36,2019-09-19 15:28:36,0.000s,PASSED
"if (expectedEvidenceCode != ""STD"")",,,,2019-09-19 15:28:36,2019-09-19 15:28:36,0.000s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2019-09-19 15:28:36,2019-09-19 15:28:36,0.446s,PASSED
,,,,,,,
Test Cases/AlterationScoringNBMajor/PRUmed Benefit Limitation/PRUmed Benefit Limitation,,,,2019-09-19 15:28:36,2019-09-19 15:28:37,0.298s,PASSED
"response = sendRequest(findTestObject(""AlterationScroingNBMajor/PRUmed Benefit Limitation/Version 1.0_Check_1.391/Request Object"", [""transactionType"":transactionType, ""clientType"":clientType, ""role"":role, ""subAlter"":subAlter, ""eviCode"":eviCode, ""riderCode"":riderCode, ... ]))",,,,2019-09-19 15:28:36,2019-09-19 15:28:36,0.046s,PASSED
slurper = new groovy.json.JsonSlurper(),,,,2019-09-19 15:28:36,2019-09-19 15:28:37,0.222s,PASSED
parsingResponse = slurper.parseText(response.getResponseText()),,,,2019-09-19 15:28:37,2019-09-19 15:28:37,0.001s,PASSED
println(parsingResponse),,,,2019-09-19 15:28:37,2019-09-19 15:28:37,0.001s,PASSED
evidenceCode = evidenceCode,,,,2019-09-19 15:28:37,2019-09-19 15:28:37,0.000s,PASSED
println(evidenceCode),,,,2019-09-19 15:28:37,2019-09-19 15:28:37,0.001s,PASSED
println(expectedEvidenceCode),,,,2019-09-19 15:28:37,2019-09-19 15:28:37,0.000s,PASSED
"if (expectedEvidenceCode != ""STD"")",,,,2019-09-19 15:28:37,2019-09-19 15:28:37,0.001s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2019-09-19 15:28:37,2019-09-19 15:28:37,0.003s,PASSED
,,,,,,,
Test Cases/AlterationScoringNBMajor/PRUmed Benefit Limitation/PRUmed Benefit Limitation,,,,2019-09-19 15:28:37,2019-09-19 15:28:37,0.704s,PASSED
"response = sendRequest(findTestObject(""AlterationScroingNBMajor/PRUmed Benefit Limitation/Version 1.0_Check_1.391/Request Object"", [""transactionType"":transactionType, ""clientType"":clientType, ""role"":role, ""subAlter"":subAlter, ""eviCode"":eviCode, ""riderCode"":riderCode, ... ]))",,,,2019-09-19 15:28:37,2019-09-19 15:28:37,0.033s,PASSED
slurper = new groovy.json.JsonSlurper(),,,,2019-09-19 15:28:37,2019-09-19 15:28:37,0.000s,PASSED
parsingResponse = slurper.parseText(response.getResponseText()),,,,2019-09-19 15:28:37,2019-09-19 15:28:37,0.000s,PASSED
println(parsingResponse),,,,2019-09-19 15:28:37,2019-09-19 15:28:37,0.001s,PASSED
evidenceCode = evidenceCode,,,,2019-09-19 15:28:37,2019-09-19 15:28:37,0.000s,PASSED
println(evidenceCode),,,,2019-09-19 15:28:37,2019-09-19 15:28:37,0.000s,PASSED
println(expectedEvidenceCode),,,,2019-09-19 15:28:37,2019-09-19 15:28:37,0.000s,PASSED
"if (expectedEvidenceCode != ""STD"")",,,,2019-09-19 15:28:37,2019-09-19 15:28:37,0.000s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2019-09-19 15:28:37,2019-09-19 15:28:37,0.003s,PASSED
,,,,,,,
Test Cases/AlterationScoringNBMajor/PRUmed Benefit Limitation/PRUmed Benefit Limitation,,,,2019-09-19 15:28:37,2019-09-19 15:28:38,0.704s,PASSED
"response = sendRequest(findTestObject(""AlterationScroingNBMajor/PRUmed Benefit Limitation/Version 1.0_Check_1.391/Request Object"", [""transactionType"":transactionType, ""clientType"":clientType, ""role"":role, ""subAlter"":subAlter, ""eviCode"":eviCode, ""riderCode"":riderCode, ... ]))",,,,2019-09-19 15:28:38,2019-09-19 15:28:38,0.032s,PASSED
slurper = new groovy.json.JsonSlurper(),,,,2019-09-19 15:28:38,2019-09-19 15:28:38,0.000s,PASSED
parsingResponse = slurper.parseText(response.getResponseText()),,,,2019-09-19 15:28:38,2019-09-19 15:28:38,0.000s,PASSED
println(parsingResponse),,,,2019-09-19 15:28:38,2019-09-19 15:28:38,0.000s,PASSED
evidenceCode = evidenceCode,,,,2019-09-19 15:28:38,2019-09-19 15:28:38,0.000s,PASSED
println(evidenceCode),,,,2019-09-19 15:28:38,2019-09-19 15:28:38,0.300s,PASSED
println(expectedEvidenceCode),,,,2019-09-19 15:28:38,2019-09-19 15:28:38,0.001s,PASSED
"if (expectedEvidenceCode != ""STD"")",,,,2019-09-19 15:28:38,2019-09-19 15:28:38,0.000s,PASSED
